Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span_avg,Mat_avg,Overs_avg,Mdns_avg,Balls_avg,Runs_avg,Wkts_avg,BBI_avg,Ave_avg,Econ_avg,SR_avg,4_avg,5_avg,10,Span_econ,Mat_econ,Overs_econ,Mdns_econ,Balls_econ,Runs_econ,Wkts_econ,BBI_econ,Ave_econ,Econ_econ,SR_econ,4_econ,5_econ,10_econ,Away
SP Narine (KKR),2012-2024,177,175,4075,679.1,3,4571,180,5/19,25.39,6.73,22.63,7,1,2012-2024,177,679.1,3,4075,4571,180,5/19,25.39,6.73,22.63,7,1,0,2012-2024,177,679.1,3,4075,4571,180,5/19,25.39,6.73,22.6,7,1,0,1
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,208,4524,754.0,4,5369,180,4/34,29.82,7.12,25.13,1,0,2009-2024,212,754.0,4,4524,5369,180,4/34,29.82,7.12,25.13,1,0,0,2009-2024,212,754.0,4,4524,5369,180,4/34,29.82,7.12,25.1,1,0,0,0
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,162,3371,561.5,6,4145,174,5/17,23.82,7.37,19.37,4,1,2008-2024,162,561.5,6,3371,4145,174,5/17,23.82,7.37,19.37,4,1,0,2008-2024,162,561.5,6,3371,4145,174,5/17,23.82,7.37,19.3,4,1,0,0
SL Malinga (MI),2009-2019,122,122,2827,471.1,8,3365,170,5/13,19.79,7.14,16.62,6,1,2009-2019,122,471.1,8,2827,3365,170,5/13,19.79,7.14,16.62,6,1,0,2009-2019,122,471.1,8,2827,3365,170,5/13,19.79,7.14,16.6,6,1,0,1
JJ Bumrah (MI),2013-2024,133,133,3053,508.5,8,3715,165,5/10,22.51,7.3,18.5,2,2,2013-2024,133,508.5,8,3053,3715,165,5/10,22.51,7.3,18.5,2,2,0,2013-2024,133,508.5,8,3053,3715,165,5/10,22.51,7.3,18.5,2,2,0,0
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,160,3416,569.2,6,4030,150,5/18,26.86,7.07,22.77,1,1,2008-2021,163,569.2,6,3416,4030,150,5/18,26.86,7.07,22.77,1,1,0,2008-2021,163,569.2,6,3416,4030,150,5/18,26.86,7.07,22.7,1,1,0,0
Rashid Khan (GT/SRH),2017-2024,121,121,2859,476.3,4,3252,149,4/24,21.82,6.82,19.18,2,0,2017-2024,121,476.3,4,2859,3252,149,4/24,21.82,6.82,19.18,2,0,0,2017-2024,121,476.3,4,2859,3252,149,4/24,21.82,6.82,19.1,2,0,0,1
AR Patel (DC/KXIP),2014-2024,150,148,3099,516.3,2,3758,123,4/21,30.55,7.27,25.19,1,0,2014-2024,150,516.3,2,3099,3758,123,4/21,30.55,7.27,25.19,1,0,0,2014-2024,150,516.3,2,3099,3758,123,4/21,30.55,7.27,25.1,1,0,0,0
KH Pandya (LSG/MI),2016-2024,127,117,2122,353.4,1,2606,76,3/11,34.28,7.36,27.92,0,0,2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.92,0,0,0,2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.9,0,0,0,0
YK Pathan (KKR/RR/SRH),2008-2019,174,82,1147,191.1,1,1415,42,3/20,33.69,7.4,27.3,0,0,2008-2019,174,191.1,1,1147,1415,42,3/20,33.69,7.4,27.3,0,0,0,2008-2019,174,191.1,1,1147,1415,42,3/20,33.69,7.4,27.3,0,0,0,0
